TIME,GEO,ANIMALS,UNIT,Value,Flag and Footnotes,,,,
2012,Bulgaria,Bees (hives),Head (animal),:,,,,,
2012,Bulgaria,Other live animals,Number,:,,,,,
2012,Bulgaria,Other live animals,Head (animal),0,,,,,
2012,Czechia,Live horses,Number,:,,,,,
2012,Czechia,Live horses,Head (animal),"5,835",,,,,
2012,Czechia,Live bovine animals,Number,:,,,,,
2012,Czechia,Live bovine animals,Head (animal),"196,911",,,,,
2012,Czechia,Bovine animals for slaughter,Number,:,,,,,
2012,Czechia,Bovine animals for slaughter,Head (animal),"7,914",,,,,
2012,Czechia,Dairy cows,Number,:,,,,,
2012,Czechia,Dairy cows,Head (animal),"7,080",,,,,
2012,Czechia,Other bovine animals,Number,:,,,,,
2012,Czechia,Other bovine animals,Head (animal),"181,917",,,,,
2012,Czechia,"Live swine, domestic species",Number,:,,,,,
2012,Czechia,"Live swine, domestic species",Head (animal),"1,586",,,,,
2012,Czechia,"Breeding sows, live weight 50 kg or over",Number,:,,,,,
2012,Czechia,"Breeding sows, live weight 50 kg or over",Head (animal),184,,,,,
2012,Czechia,Other pigs,Number,:,,,,,
2012,Czechia,Other pigs,Head (animal),41,,,,,
2012,Czechia,"Fattening pigs, live weight 50 kg or over",Number,:,,,,,
2012,Czechia,"Fattening pigs, live weight 50 kg or over",Head (animal),"1,361",,,,,
2012,Czechia,Live sheep,Number,:,,,,,
2012,Czechia,Live sheep,Head (animal),"93,375",,,,,
2012,Czechia,"Ewes and ewe-lambs, breeding females",Number,:,,,,,
2012,Czechia,"Ewes and ewe-lambs, breeding females",Head (animal),"59,908",,,,,
2012,Czechia,Ewes and ewe-lambs put to the ram,Number,:,,,,,
2012,Czechia,Ewes and ewe-lambs put to the ram,Head (animal),:,,,,,
2012,Czechia,Other sheep,Number,:,,,,,
2012,Czechia,Other sheep,Head (animal),"33,467",,,,,
2012,Czechia,Live goats,Number,:,,,,,
2012,Czechia,Live goats,Head (animal),"7,620",,,,,
2012,Czechia,"Goats, breeding females",Number,:,,,,,
2012,Czechia,"Goats, breeding females",Head (animal),"5,043",,,,,
2012,Czechia,Other goats,Number,:,,,,,
2012,Czechia,Other goats,Head (animal),"2,577",,,,,
2012,Czechia,Live poultry,Number,:,,,,,
2012,Czechia,Live poultry,Head (animal),"38,566",,,,,
2012,Czechia,Live poultry excluding laying hens and broilers,Number,:,,,,,
2012,Czechia,Live poultry excluding laying hens and broilers,Head (animal),"1,989",,,,,
2012,Czechia,Laying hens,Number,:,,,,,
2012,Czechia,Laying hens,Head (animal),"13,538",,,,,
2012,Czechia,Laying hens (producing eggs for consumption),Number,:,,,,,
2012,Czechia,Laying hens (producing eggs for consumption),Head (animal),:,,,,,
2012,Czechia,Broilers,Number,:,,,,,
2012,Czechia,Broilers,Head (animal),"23,039",,,,,
2012,Czechia,Rabbits,Number,:,,,,,
2012,Czechia,Rabbits,Head (animal),329,,,,,
2012,Czechia,Bees (hives),Number,448,,,,,
2012,Czechia,Bees (hives),Head (animal),:,,,,,
2012,Czechia,Other live animals,Number,:,,,,,
2012,Czechia,Other live animals,Head (animal),157,,,,,
2012,Denmark,Live horses,Number,:,,,,,
2012,Denmark,Live horses,Head (animal),238,,,,,
2012,Denmark,Live bovine animals,Number,:,,,,,
2012,Denmark,Live bovine animals,Head (animal),"183,262",,,,,
2012,Denmark,Bovine animals for slaughter,Number,:,,,,,
2012,Denmark,Bovine animals for slaughter,Head (animal),"109,464",,,,,
2012,Denmark,Dairy cows,Number,:,,,,,
2012,Denmark,Dairy cows,Head (animal),"65,057",,,,,
2012,Denmark,Other bovine animals,Number,:,,,,,
2012,Denmark,Other bovine animals,Head (animal),:,,,,,
2012,Denmark,"Live swine, domestic species",Number,:,,,,,
2012,Denmark,"Live swine, domestic species",Head (animal),"232,051",,,,,
2012,Denmark,"Breeding sows, live weight 50 kg or over",Number,:,,,,,
2012,Denmark,"Breeding sows, live weight 50 kg or over",Head (animal),"8,597",,,,,
2012,Denmark,Other pigs,Number,:,,,,,
2012,Denmark,Other pigs,Head (animal),"107,879",,,,,
2012,Denmark,"Fattening pigs, live weight 50 kg or over",Number,:,,,,,
2012,Denmark,"Fattening pigs, live weight 50 kg or over",Head (animal),"115,573",,,,,
2012,Denmark,Live sheep,Number,:,,,,,
2012,Denmark,Live sheep,Head (animal),"10,202",,,,,
2012,Denmark,"Ewes and ewe-lambs, breeding females",Number,:,,,,,
2012,Denmark,"Ewes and ewe-lambs, breeding females",Head (animal),"10,078",,,,,
2012,Denmark,Ewes and ewe-lambs put to the ram,Number,:,,,,,
2012,Denmark,Ewes and ewe-lambs put to the ram,Head (animal),:,,,,,
2012,Denmark,Other sheep,Number,:,,,,,
2012,Denmark,Other sheep,Head (animal),124,,,,,
2012,Denmark,Live goats,Number,:,,,,,
2012,Denmark,Live goats,Head (animal),"3,062",,,,,
2012,Denmark,"Goats, breeding females",Number,:,,,,,
2012,Denmark,"Goats, breeding females",Head (animal),"3,031",,,,,
2012,Denmark,Other goats,Number,:,,,,,
2012,Denmark,Other goats,Head (animal),31,,,,,
2012,Denmark,Live poultry,Number,:,,,,,
2012,Denmark,Live poultry,Head (animal),"1,337,906",,,,,
